Frequency Output,Frequency Input,FCC Callsign,Agency/Category,Description,Alpha Tag,PL Output Tone,PL Input Tone,Mode,Class Station Code,Tag,Airport,Service
123.075,0,,,Grand Rapids/Itasca - CTAF,GPZ CTAF,CSQ,,AM,BM,Airport,KGPZ,CTAF
122.8,0,,,Grand Rapids - UNICOM,GPZ UNICOM,CSQ,,AM,BM,Airport,KGPZ,UNICOM
118.325,0,,,Bemidji Regional - Tower,BJI Tower,CSQ,,AM,BM,Airport,KBJI,Tower
121.7,0,,,Bemidji Regional - Ground,BJI Ground,CSQ,,AM,BM,Airport,KBJI,Ground
118.025,0,,,Bemidji Regional - ATIS,BJI ATIS,CSQ,,AM,BM,Airport,KBJI,ATIS
122.8,0,,,International Falls - CTAF/UNICOM,INL UNICOM,CSQ,,AM,BM,Airport,KINL,UNICOM
120.0,0,,,International Falls - ASOS,INL ASOS,CSQ,,AM,BM,Airport,KINL,AWOS
123.0,0,,,Mankato Regional - CTAF,MKT CTAF,CSQ,,AM,BM,Airport,KMKT,CTAF
122.8,0,,,Mankato Regional - UNICOM,MKT UNICOM,CSQ,,AM,BM,Airport,KMKT,UNICOM
118.6,0,,,Albert Lea - CTAF,AEL CTAF,CSQ,,AM,BM,Airport,KAEL,CTAF
122.7,0,,,Albert Lea - UNICOM,AEL UNICOM,CSQ,,AM,BM,Airport,KAEL,UNICOM
122.8,0,,,Winona Municipal - CTAF,ONA CTAF,CSQ,,AM,BM,Airport,KONA,CTAF
122.7,0,,,Winona - UNICOM,ONA UNICOM,CSQ,,AM,BM,Airport,KONA,UNICOM
123.05,0,,,Redwood Falls - CTAF,RWF CTAF,CSQ,,AM,BM,Airport,KRWF,CTAF
122.8,0,,,Redwood Falls - UNICOM,RWF UNICOM,CSQ,,AM,BM,Airport,KRWF,UNICOM
122.7,0,,,Thief River Falls - CTAF,TVF CTAF,CSQ,,AM,BM,Airport,KTVF,CTAF
122.8,0,,,Thief River Falls - UNICOM,TVF UNICOM,CSQ,,AM,BM,Airport,KTVF,UNICOM
122.9,0,,,Pine River Regional - CTAF,PWC CTAF,CSQ,,AM,BM,Airport,KPWC,CTAF
122.8,0,,,Pine River Regional - UNICOM,PWC UNICOM,CSQ,,AM,BM,Airport,KPWC,UNICOM
118.325,0,,,Pine River Regional - AWOS,PWC AWOS,CSQ,,AM,BM,Airport,KPWC,AWOS
122.9,0,,,Aitkin Municipal (Steve Kurtz Field) - CTAF,AIT CTAF,CSQ,,AM,BM,Airport,KAIT,CTAF
122.8,0,,,Aitkin Municipal - UNICOM,AIT UNICOM,CSQ,,AM,BM,Airport,KAIT,UNICOM
118.375,0,,,Aitkin Municipal - AWOS,AIT AWOS,CSQ,,AM,BM,Airport,KAIT,AWOS
122.9,0,,,Backus Municipal - CTAF,7Y3 CTAF,CSQ,,AM,BM,Airport,7Y3,CTAF
122.9,0,,,Walker Municipal - CTAF,Y49 CTAF,CSQ,,AM,BM,Airport,Y49,CTAF
119.0,0,,,Walker Municipal - AWOS,Y49 AWOS,CSQ,,AM,BM,Airport,Y49,AWOS
122.8,0,,,Owatonna Degner Regional - CTAF,OWA CTAF,CSQ,,AM,BM,Airport,KOWA,CTAF
122.8,0,,,Owatonna Degner Regional - UNICOM,OWA UNICOM,CSQ,,AM,BM,Airport,KOWA,UNICOM
118.625,0,,,Owatonna Degner Regional - AWOS,OWA AWOS,CSQ,,AM,BM,Airport,KOWA,AWOS
122.8,0,,,Austin Municipal - CTAF,AUM CTAF,CSQ,,AM,BM,Airport,KAUM,CTAF
122.8,0,,,Austin Municipal - UNICOM,AUM UNICOM,CSQ,,AM,BM,Airport,KAUM,UNICOM
118.325,0,,,Austin Municipal - AWOS,AUM AWOS,CSQ,,AM,BM,Airport,KAUM,AWOS
122.9,0,,,Little Falls/Morrison County - CTAF,LXL CTAF,CSQ,,AM,BM,Airport,KLXL,CTAF
122.8,0,,,Little Falls/Morrison County - UNICOM,LXL UNICOM,CSQ,,AM,BM,Airport,KLXL,UNICOM
118.525,0,,,Little Falls/Morrison County - AWOS,LXL AWOS,CSQ,,AM,BM,Airport,KLXL,AWOS
122.9,0,,,Isedor Iverson/McGregor - CTAF,HZX CTAF,CSQ,,AM,BM,Airport,KHZX,CTAF
119.575,0,,,Isedor Iverson/McGregor - AWOS,HZX AWOS,CSQ,,AM,BM,Airport,KHZX,AWOS
123.0,0,,,Sedona - CTAF/UNICOM,SEZ UNICOM,CSQ,,AM,BM,Airport,KSEZ,UNICOM
118.525,0,,,Sedona - AWOS,SEZ AWOS,CSQ,,AM,BM,Airport,KSEZ,AWOS
123.0,0,,,Alexandria Regional - CTAF/UNICOM,AXN UNICOM,CSQ,,AM,BM,Airport,KAXN,UNICOM
118.375,0,,,Alexandria - ASOS,AXN ASOS,CSQ,,AM,BM,Airport,KAXN,AWOS
122.9,0,,,Breezy Point - CTAF,8MN3 CTAF,CSQ,,AM,BM,Airport,8MN3,CTAF
123.0,0,,,Princeton Municipal - CTAF/UNICOM,PNM UNICOM,CSQ,,AM,BM,Airport,KPNM,UNICOM
119.025,0,,,Princeton - AWOS,PNM AWOS,CSQ,,AM,BM,Airport,KPNM,AWOS
122.9,0,,,Milaca Municipal - CTAF,18Y CTAF,CSQ,,AM,BM,Airport,18Y,CTAF
122.9,0,,,Staples Municipal - CTAF,SAZ CTAF,CSQ,,AM,BM,Airport,KSAZ,CTAF
118.325,0,,,Staples Municipal - AWOS,SAZ AWOS,CSQ,,AM,BM,Airport,KSAZ,AWOS
121.725,0,,,Staples Municipal - GCO,SAZ GCO,CSQ,,AM,BM,Airport,KSAZ,GCO
123.6,0,,,Minneapolis Center,MSP Center,CSQ,,AM,BM,Airport,ZMP,Center
127.85,0,,,Minneapolis Center (High),MSP Center HI,CSQ,,AM,BM,Airport,ZMP,Center
132.4,0,,,Minneapolis Center (Low),MSP Center LO,CSQ,,AM,BM,Airport,ZMP,Center
121.5,0,,,Ground/Multicom,Ground,CSQ,,AM,BM,Airport,COMMON,Ground
122.75,0,,,Air-to-Air (Fixed Wing),Air-to-Air,CSQ,,AM,BM,Airport,COMMON,Air-to-Air
123.45,0,,,Air-to-Air (Helicopter),Helo Air-Air,CSQ,,AM,BM,Airport,COMMON,Air-to-Air
122.9,0,,,Multicom (CTAF),Multicom,CSQ,,AM,BM,Airport,COMMON,CTAF
